metric_id,metric_name,domain,business_definition,technical_definition,calculation_formula,grain,source_table,source_fields,refresh_dependency,owner_role,quality_notes,limitations,synthetic_data_flag
M001,production_output,production,Accepted production quantity,Sum accepted_quantity,sum(accepted_quantity),"date, plant, line, product",fact_production_kpis,accepted_quantity,tracked governed milestone outputs,manufacturing analytics owner,validated synthetic evidence,portfolio sample; not live operations,True
M002,demand_forecast,forecasting,Forecast demand quantity,Point forecast,sum(point_forecast),"date, product, region",fact_demand_forecast,point_forecast,tracked governed milestone outputs,manufacturing analytics owner,validated synthetic evidence,portfolio sample; not live operations,True
M003,forecast_horizon,forecasting,Forecast horizon days,Horizon day,max(forecast_horizon_day),series,fact_demand_forecast,forecast_horizon_day,tracked governed milestone outputs,manufacturing analytics owner,validated synthetic evidence,portfolio sample; not live operations,True
M004,inventory_score,inventory,Inventory priority score,Priority score,avg(priority_score),"warehouse, item",fact_inventory_risk,priority_score,tracked governed milestone outputs,manufacturing analytics owner,validated synthetic evidence,portfolio sample; not live operations,True
M005,reorder_recommendation,inventory,Recommended reorder quantity,Rules-based quantity,sum(recommended_reorder_quantity),"warehouse, item",fact_inventory_risk,recommended_reorder_quantity,tracked governed milestone outputs,manufacturing analytics owner,validated synthetic evidence,portfolio sample; not live operations,True
M006,stockout_risk,inventory,Stockout risk score,Stockout risk,avg(stockout_risk_score),"warehouse, item",fact_inventory_risk,stockout_risk_score,tracked governed milestone outputs,manufacturing analytics owner,validated synthetic evidence,portfolio sample; not live operations,True
M007,quality_alert,quality,Quality alert count,Alert rows,count(alert_id),alert,fact_quality_alerts,alert_id,tracked governed milestone outputs,manufacturing analytics owner,validated synthetic evidence,portfolio sample; not live operations,True
M008,specification_failure,quality,Specification failures,Failed specification flags,count where calculated_specification_result=fail,inspection,fact_quality_alerts,calculated_specification_result,tracked governed milestone outputs,manufacturing analytics owner,validated synthetic evidence,portfolio sample; not live operations,True
M009,maintenance_alert,maintenance,Maintenance alert count,Alert rows,count(alert_id),alert,fact_maintenance_alerts,alert_id,tracked governed milestone outputs,manufacturing analytics owner,validated synthetic evidence,portfolio sample; not live operations,True
M010,failure_risk,maintenance,Failure risk score,Failure risk score,avg(failure_risk_score),machine,fact_maintenance_alerts,failure_risk_score,tracked governed milestone outputs,manufacturing analytics owner,validated synthetic evidence,portfolio sample; not live operations,True
M011,platform_health,monitoring,Platform health score,Monitoring score,platform_health_score,platform,fact_platform_health,platform_health_score,tracked governed milestone outputs,manufacturing analytics owner,validated synthetic evidence,portfolio sample; not live operations,True
M012,monitoring_alert,monitoring,Monitoring alert count,Monitoring alerts,sum(alert_count),platform,fact_platform_health,alert_count,tracked governed milestone outputs,manufacturing analytics owner,validated synthetic evidence,portfolio sample; not live operations,True
M013,assistant_response_count,genai,Assistant response count,Response rows,count(response_id),response,fact_operations_assistant_narratives,response_id,tracked governed milestone outputs,manufacturing analytics owner,validated synthetic evidence,portfolio sample; not live operations,True
